# Data from Clarivate Analytics' Web of Science, retrieved 29 October 2018,,,,,,,,,,,,,
# This file generated on 2018-11-22 14:30:09,,,,,,,,,,,,,,
item,id,year,title,AU,SO,DE,DOI,DOI link,Modeling,Version Control,Versioning,Testing,Publicly accessible code?,Publicly accessible data?
1769,WOS:000281254200009,2010,A Bayesian Multi-Level Factor Analytic Model of Consumer Price Sensitivities Across Categories,"Duvvuri, Sri Devi|Gruca, Thomas S.",PSYCHOMETRIKA,cross category analysis|related categories|price sensitivity|multivariate probit|bayesian factor analysis|heterogeneity|mcmc procedures|metropolis-hastings algorithm,10.1007/s11336-010-9167-3,http://dx.doi.org/10.1007/s11336-010-9167-3,Y,,,,,
1859,WOS:000284754500012,2010,Spatial uncertainty assessment in modelling reference evapotranspiration at regional scale,"Buttafuoco, G.|Caloiero, T.|Coscarelli, R.",HYDROLOGY AND EARTH SYSTEM SCIENCES,,10.5194/hess-14-2319-2010,http://dx.doi.org/10.5194/hess-14-2319-2010,,,,,,
3957,WOS:000274350400014,2010,Implementation of variably saturated flow into PHREEQC for the simulation of biogeochemical reactions in the vadose zone,"Wissmeier, L.|Barry, D. A.",ENVIRONMENTAL MODELLING & SOFTWARE,reactive transport|unsaturated flow|surface complexation|geochemical modelling|cation exchange|hydraulic properties,10.1016/j.envsoft.2009.10.001,http://dx.doi.org/10.1016/j.envsoft.2009.10.001,,,,,,
4579,WOS:000281134400004,2010,Linking MODFLOW with an Agent-Based Land-Use Model to Support Decision Making,"Reeves, Howard W.|Zellner, Moira L.",GROUND WATER,,10.1111/j.1745-6584.2010.00677.x,http://dx.doi.org/10.1111/j.1745-6584.2010.00677.x,,,,,,
347,WOS:000282358200005,2010,Capturing Coastal Geomorphological Change within Regional Integrated Assessment: An Outcome-Driven Fuzzy Logic Approach,"Hanson, S.|Nicholls, R. J.|Balson, P.|Brown, I.|French, J. R.|Spencer, T.|Sutherland, W. J.",JOURNAL OF COASTAL RESEARCH,outcome-driven|fuzzy logic|model framework|sea level|coastal management|sediment supply|east anglia,10.2112/JCOASTRES-D-09-00078.1,http://dx.doi.org/10.2112/JCOASTRES-D-09-00078.1,,,,,,
3624,WOS:000279659200001,2010,Web service based hydrologic data distribution system,"Kanwar, Rahul|Narayan, Ujjwal|Lakshmi, Venkat",COMPUTERS & GEOSCIENCES,hydrology|remote sensing|database|web services,10.1016/j.cageo.2007.10.017,http://dx.doi.org/10.1016/j.cageo.2007.10.017,,,,,,
4735,WOS:000273267000055,2010,Development of Resource Shed Delineation in Aquatic Ecosystems,"Raikow, David F.|Atkinson, Joseph F.|Croley, Thomas E.",ENVIRONMENTAL SCIENCE & TECHNOLOGY,,10.1021/es900562t,http://dx.doi.org/10.1021/es900562t,,,,,,
3321,WOS:000274517500012,2010,Optimal Distribution and Control of Storage Tank to Mitigate the Impact of New Developments on Receiving Water Quality,"Fu, Guangtao|Khu, Soon-Thiam|Butler, David",JOURNAL OF ENVIRONMENTAL ENGINEERING-ASCE,,10.1061/(ASCE)EE.1943-7870.0000161,http://dx.doi.org/10.1061/(ASCE)EE.1943-7870.0000161,,,,,,
4322,WOS:000279119600001,2010,Editorial: Integrated modelling for regional water management,"Yang, Y. S.",PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-WATER MANAGEMENT,,10.1680/wama.2010.163.7.325,http://dx.doi.org/10.1680/wama.2010.163.7.325,,,,,,
3958,WOS:000276532700004,2010,Use of geological weighing lysimeters to calibrate a distributed hydrological model for the simulation of land-atmosphere moisture exchange,"Marin, Saul|van der Kamp, Garth|Pietroniro, Alain|Davison, Bruce|Toth, Brenda",JOURNAL OF HYDROLOGY,observation wells|weighing lysimeters|hydrological modeling|groundwater|evapotranspiration,10.1016/j.jhydrol.2009.12.034,http://dx.doi.org/10.1016/j.jhydrol.2009.12.034,,,,,,
1869,WOS:000279341600003,2010,Experience With a Hard and Soft Participatory Modeling Framework for Social-ecological System Management in Mount Everest (Nepal) and K2 (Pakistan) Protected Areas,"Salerno, Franco|Cuccillato, Emanuele|Caroli, Paolo|Bajracharya, Birendra|Manfredi, Emanuela Chiara|Viviano, Gaetano|Thakuri, Sudeep|Flury, Bastian|Basani, Marcello|Giannino, Francesco|Panzeri, Daniele",MOUNTAIN RESEARCH AND DEVELOPMENT,system dynamics|management-oriented research|quantitative modeling|social-ecological systems|qualitative modeling|adaptive management|modeling scenarios,10.1659/MRD-JOURNAL-D-10-00014.1,http://dx.doi.org/10.1659/MRD-JOURNAL-D-10-00014.1,,,,,,
3325,WOS:000271770400013,2010,Parameterizing soil and weather inputs for crop simulation models using the VEMAP database,"Wu, Wei|Chen, Ji-long|Liu, Hong-bin|Garcia y Garcia, Axel|Hoogenboom, Gerrit",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,spatial database|crop simulation model|scale|resource management,10.1016/j.agee.2009.08.016,http://dx.doi.org/10.1016/j.agee.2009.08.016,,,,,,
3328,WOS:000275808800004,2010,Assessing climate change impacts on river flows and environmental flow requirements at catchment scale,"Onusluel Gul, Gulay|Rosbjerg, Dan|Gul, Ali|Ondracek, Maria|Dikgola, Kobamelo",ECOHYDROLOGY,hydrological modelling|climate change|river flows|environmental flow requirements|model coupling,10.1002/eco.92,http://dx.doi.org/10.1002/eco.92,,,,,,
786,WOS:000274350400023,2010,Grand challenges for environmental modeling,"Beck, M. Bruce",ENVIRONMENTAL MODELLING & SOFTWARE,ecology|environmental engineering|environmental policy|hydrology|ocean sciences|observatories|sustainability of built environment,10.1016/j.envsoft.2009.11.005,http://dx.doi.org/10.1016/j.envsoft.2009.11.005,,,,,,
1374,WOS:000283509900017,2010,A digitized global flood inventory (1998-2008): compilation and preliminary results,"Adhikari, Pradeep|Hong, Yang|Douglas, Kimberly R.|Kirschbaum, Dalia Bach|Gourley, Jonathan|Adler, Robert|Brakenridge, G. Robert",NATURAL HAZARDS,"flood database|global hazard assessment|spatiotemporal analysis|fatality, impact assessment|hydrological modeling",10.1007/s11069-010-9537-2,http://dx.doi.org/10.1007/s11069-010-9537-2,,,,,,
4332,WOS:000282768800022,2010,Flood analysis in mixed-urban areas reflecting interactions with the complete water cycle through coupled hydrologic-hydraulic modelling,"Domingo, N. D. Sto.|Refsgaard, A.|Mark, O.|Paludan, B.",WATER SCIENCE AND TECHNOLOGY,coupled 1d-2d model|hydrologic-hydraulic interaction|integrated modelling|urban flooding,10.2166/wst.2010.365,http://dx.doi.org/10.2166/wst.2010.365,,,,,,
3028,WOS:000280722700005,2010,Spatially distributed erosion and sediment yield modeling in the upper Indus River basin,"Ali, Khawaja Faran|De Boer, Dirk H.",WATER RESOURCES RESEARCH,,10.1029/2009WR008762,http://dx.doi.org/10.1029/2009WR008762,,,,,,
