DOI,title,1,2,3,4,5
10.1016/j.envsoft.2017.06.051,Model provenance tracking and inference for integrated environmental modelling (2017),It is a challenge to track which raw observations or intermediate data exchanged at runtime contribute to individual model outputs.,Time-step level provenance is needed to audit the trail of model execution or perform diagnosis in case of anomalies.,This paper introduces a method to support provenance awareness in IEM.,A case study of model provenance tracking and inference on the watershed runoff simulation scenario illustrates the applicability of the approach.,The provenance is represented using the W3C PROV model for interoperability.
10.1016/j.envsoft.2012.07.006,The Simple Script Wrapper for OpenMI: Enabling interdisciplinary modeling studies (2013),The simplicity afforded by our solution is presented in a case study set in the context of irrigated agriculture.,We have developed a general-purpose software component for the OpenMI that simplifies the linking of scripted models to other components.,"Our solution enables scientists to easily make their scripting language code linkable to OpenMI-compliant models fostering collaborative, interdisciplinary integrated modeling.",,
10.3390/w7105345,"Catchment-Scale Modeling of Nitrogen Dynamics in a Temperate Forested Watershed, Oregon. An Interdisciplinary Communication Strategy (2015)","The modeling framework was designed to help document and evaluate an evolving understanding of catchment processing of water, nitrogen, and carbon that has developed over the many years of on-going research at the site.",We present a systems modeling approach to the development of a place-based ecohydrological model.,"The model represents a communication strategy to facilitate dialog between disciplinary experimentalists and modelers, to produce a more complete picture of nitrogen cycling in the region.",,
10.1016/j.compfluid.2016.11.015,A stable and scale-aware dynamic modeling framework for subgrid-scale parameterizations of two-dimensional turbulence (2017),"To this end, we put forth a modular dynamic modeling approach for subgrid-scale parameterizations of two-dimensional turbulence.","A set of decaying turbulence experiments up to Re = 128,000 are compared against direct numerical simulations (DNSs) obtained by a resolution of 2048(2).","For developing a unifying dynamic modeling approach, a set of coupled subgrid-scale models are proposed by minimizing the error between the functional and structural models.","Due to its more dissipative character, the dynamic AD model seems to be an efficient approach for very large eddy simulations on coarse grid descriptions.","To elucidate the effects of numerics on the subgrid-scale physics, two different high-order discretization schemes are considered, namely the fourth-order Pade and Arakawa schemes."
10.1080/10643389.2017.1393264,Simpler models in environmental studies and predictions (2017),Model simplification can be useful in understanding the behavior of complex models.,,,,
10.1016/j.envsoft.2013.05.005,Selecting among five common modelling approaches for integrated environmental assessment and management (2013),"Models, integrating different system processes into a unified framework, are seen as useful tools to help analyse alternatives with stakeholders, assess their outcomes, and communicate results in a transparent way.","The design and implementation of effective environmental policies need to be informed by a holistic understanding of the system processes (biophysical, social and economic), their complex interactions, and how they respond to various changes.",,,
10.1590/2318-0331.0217170066,A morphodynamic model for cohesive sediments transport (2017),"Such model is currently available on SisBaHiA (R), which is a computational modeling system developed and maintained in COPPE/UFRJ.","These models are similar to the one presented in this paper, and are well accepted and widely used on professional projects and studies.","For that, by all means, it is important to have analysis tools capable of computing cohesive sediments dynamics.","In sequence, we compare model results with the theoretical results and, for some tests, with the results of the simulations performed with the Delft3D (R) and Telemac (R) modeling systems.",
10.1016/j.envsoft.2015.02.001,Reusability of model components for environmental simulation - Case studies for integrated coastal zone management (2015),"Well-designed components are of appropriate granularity, encapsulated, with a limited use of connectors and proper data handling.",A library of reusable model components could facilitate the maintenance of existing models and make the design of new models more efficient.,"Ultimately, the success of a model library depends on a sufficient set of quality components with complementary functionalities, a framework for quality control, and support of the environmental modelling community.","The multi-disciplinary project SPICOSA used a common, component-based simulation framework for environmental modelling, based on 18 case studies through Europe.",
10.1016/j.envsoft.2016.02.031,A minimally invasive model data passing interface for integrating legacy environmental system models (2016),MODPI only requires commented directives in the original code and an XML linkage file with an optional custom data conversion module.,"MODPI is much less invasive than other techniques, potentially encouraging adoption by the modeling community in addition to maintainability and reusability of integrated model code.","Case study results indicated that MODPI required less code modifications within each model code base both before and after automated code generation, outperforming a baseline subroutine approach.",,
10.3389/fenvs.2015.00058,Adaptive submodel selection in hybrid models (2015),This paper uses a simple example model of an artificial ecosystem to explore a hybrid model which may change the form of its component submodels in response to their local conditions and internal state relative to some putative optimization choices.,"In this context, hybrid modelers try to choose the best representations for each component of a model in order to maximize the utility of the model as a whole.",The immediate consequence of this possibility is that we should consider adaptive hybrid models whose submodels may change their representation based on their own state and the states of the other submodels within the system.,"Hybrid modeling seeks to address problems associated with the representation of complex systems using ""single-paradigm"" models: where traditional models may represent an entire system as a cellular automaton, for example, the set of submodels within a hybrid model may mix representations as diverse as individual-based models of organisms, Markov chain models, fluid dynamics models of regional ocean currents, and coupled population dynamics models.","Even with the flexibility afforded by the hybrid approach, the set of models constituting the whole system and the dynamics associated with interacting models may be most efficient only in parts of the global state space of the system."
10.1016/j.envsoft.2003.08.016,JDEVS: an implementation of a DEVS based formal framework for environmental modelling (2004),"To simplify the coupling of those models, a formal basis for a high-level specification of such models must be set up.","Moreover, a wide variety of modelling paradigms can be expressed in the DEVS formalism.",The formal framework ensures that the models are reusable and interoperable components with well defined interfaces.,,
10.1007/978-3-319-22786-3_28,"Spatiotemporal Epidemic Modeling with libSpatialSEIR: Specification, Fitting, Selection, and Prediction (2017)",We introduce a general-purpose spatial epidemic modeling framework applicable to many pathogens and describe an open source package for the R statistical computing environment designed to perform such analyses.,,,,
10.5194/hess-22-2987-2018,"Framework for developing hybrid process-driven, artificial neural network and regression models for salinity prediction in river systems (2018)","Based on trade-offs between the degree of process understanding and data availability, a process-driven model is developed for in-stream salt transport, an ANN model is used to model saline groundwater accession and three linear regression models are used to account for the flushing of the different floodplain storages.","Apart from improved predictive performance, the hybrid model also has advantages over the ANN benchmark model in terms of increased capacity for improving system understanding and greater ability to support management decisions.",Each component of the hybrid model results in noticeable improvements in model performance corresponding to the range of flows for which they are developed.,"In order to overcome these limitations, a generic framework for developing hybrid process and data-driven models of salinity in river systems is introduced and applied in this paper.","The major limitation of data-driven models, such as artificial neural networks (ANNs) in comparison, is that they provide limited system understanding and are generally not able to be used to inform management decisions targeting specific processes, as different processes are generally modelled implicitly."
10.1111/j.1745-6584.2009.00634.x,Groundwater Modeling in Integrated Water Resources Management-Visions for 2020 (2010),"Based on insight gained from this Danish experience, a scientifically realistic scenario for the use of groundwater modeling in 2020 has been developed, in which groundwater models will be a part of sophisticated databases and modeling systems.","The databases and numerical models will be seamlessly integrated, and the tasks of monitoring and modeling will be merged.","Furthermore, the management systems will be constructed with a focus on building credibility of model and data use among all stakeholders and on facilitating a learning process whereby data and models, as well as stakeholders' understanding of the system, are updated to currently available information.","Numerical models for atmospheric, surface water, and groundwater processes will be coupled in one integrated modeling system that can operate at a wide range of spatial scales.",
10.1007/978-3-319-89935-0_35,A Domain Specific Language to Simplify the Creation of Large Scale Federated Model Sets (2017),"This paper presents an attempt to address the challenge of modeling complex systems in which people, energy, and the environment meet.",,,,
10.1162/1088198054821690,Internet-based integrated environmental assessment - Using ontologies to share computational models (2005),"Drawing from this premise, the first level of the architecture stands on a base of computational models that in some way represent the expert knowledge of the model builder.","At the second level, we provide markup and interface definition tools to describe the type of knowledge contained in each model, together with the types of information services that can be provided.",The results of research at these two levels of an Internet-based knowledge integration environment for integrated environmental assessment in industrial ecology are presented in this article.,The foundation of the proposed architecture is a belief that computational models are an effective medium for conveying expert knowledge of various phenomena.,"Using a storyline of four imaginary researchers who hope to find collaborators in order to develop their research findings, we illustrate two levels of a four-level architecture for an Internet-based knowledge integration and collaboration environment for integrated environmental assessment."
