# Data from Clarivate Analytics' Web of Science, retrieved 23 November 2018
# This file generated on 2018-11-23 15:30:02
item,AU,DE,SO,id,title,year
0,"Tiradentes Decina, Thiago Galvao|Boccia Brandao, Joao Luiz",floods|management measures|hydraulic-hydrological modeling|hec-hms|hec-ras,ENGENHARIA SANITARIA E AMBIENTAL,WOS:000375083200020,Performance analysis of structural and non-structural flood control measures in an urban watershed,2016
1,"Nourqolipour, Ramin|Shariff, Abdul Rashid B. Mohamed|Ahmad, Noordin B.|Balasundram, Siva K.|Sood, Alias M.|Buyong, Taher|Amiri, Fazel",land use modeling|multi-objective land allocation|cellular automata (ca)|markov chain|multi-criteria evaluation (mce),ENVIRONMENTAL EARTH SCIENCES,WOS:000360401400041,"Multi-objective-based modeling for land use change analysis in the South West of Selangor, Malaysia",2015
2,"Haagsma, IG|Muller, A",,"HYDROINFORMATICS '96, VOLS 1 AND 2",WOS:A1996BG39U00023,Integrated modelling facilitated by standard data formats as a tool for a generic decision support system,1996
3,"Simons, Franz|Busse, Tobias|Hou, Jingming|Oezgen, Ilhan|Hinkelmann, Reinhard",finite-volume method|integrated modelling|object-oriented programming|overland flow|rainfall-runoff simulation|two-dimensional shallow water equations,JOURNAL OF HYDROINFORMATICS,WOS:000333684400010,A model for overland flow and associated processes within the Hydroinformatics Modelling System,2014
4,"Brechet, Thierry|Thenie, Julien|Zeimes, Thibaut|Zuber, Stephane",cooperation|uncertainty|climate change|integrated assessment model,ENVIRONMENTAL MODELING & ASSESSMENT,WOS:000298855500011,The Benefits of Cooperation Under Uncertainty: the Case of Climate Change,2012
5,"Steinman, JS|Berliner, G|Blank, GE|Brutocao, JS|Burckhardt, J|Peckham, M|Shupe, S|Stadsklev, K|Tran, T|Van Iwaarden, R|Yu, L|Tentner, A",,PROCEEDINGS OF THE HIGH PERFORMANCE COMPUTING SYMPOSIUM - HPC '99,WOS:000081234800043,The SPEEDES-based Run-Time Infrastructure for the High-Level Architecture on high-performance computers,1999
6,"Robertson, David E.|Bennett, James C.|Wang, Q. J.|Weber, T|McPhee, MJ|Anderssen, RS",rainfall data quality|hydrological modelling and forecasting,21ST INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION (MODSIM2015),WOS:000410535400303,A strategy for quality controlling hourly rainfall observations and its impact on hourly streamflow simulations,2015
7,"Ingebrigtsen, Rikke|Lindgren, Finn|Steinsland, Ingelin",non-stationary covariance models|gaussian random fields|stochastic partial differential equations|annual precipitation|approximate bayesian inference,SPATIAL STATISTICS,WOS:000346600600002,Spatial models with explanatory variables in the dependence structure,2014
8,"Cheng, CY|Atkinson, JF|VanBenschoten, JE|Bursik, MI|DePinto, JV",,JOURNAL OF ENVIRONMENTAL ENGINEERING-ASCE,WOS:000085379700009,Image-based system for particle counting and sizing,2000
9,"Amann, M|Lutz, M",ground-level ozone|european union environmental policy|air quality framework directive|national emission ceilings directive|integrated assessment model,JOURNAL OF HAZARDOUS MATERIALS,WOS:000089423400004,The revision of the air quality legislation in the European Union related to ground-level ozone,2000
