# Data from Clarivate Analytics' Web of Science, retrieved 1 December 2018
# This file generated on 2018-12-04 16:02:46
item,AU,DE,SO,id,title,year
0,"Torres, Sanchez A.|Vojinovic, Z.|Mynett, A.|Medina, N.|Mynett, A",urban growth|land use change modeling|cellular automata|genetic algorithms,PROCEEDINGS OF THE 36TH IAHR WORLD CONGRESS,WOS:000398996206068,ASSESSING THE IMPLICATIONS FOR URBAN DRAINAGE INFRASTRUCTURE OF FUTURE SCENARIOS OF URBAN GROWTH WITH CELLULAR AUTOMATA,2015
1,"Yi, Shuping|Ma, Haiyi|Zheng, Chunmiao|Ren, Guocheng|Hu, Xueling",radionuclide transport|numerical flow modeling|field-scale solute transport model|disposal of lilw|environmental impact assessment,ENVIRONMENTAL EARTH SCIENCES,WOS:000344737300019,A field-scale long-term study on radionuclide transport through weathered granites at a site in southern China,2014
2,"Hunke, Philip|Mueller, Eva Nora|Schroeder, Boris|Zeilhofer, Peter",cerrado|land degradation|ecosystem change|water quality|soil parameters|ecohydrology|land use change|mato grosso|pesticides|cash crops,ECOHYDROLOGY,WOS:000366798400013,The Brazilian Cerrado: assessment of water and soil degradation in catchments under intensive agricultural use,2015
3,"Thraen, Daniela|Schaldach, Ruediger|Millinger, Markus|Wolf, Verena|Arendt, Oliver|Ponitka, Jens|Gaertner, Sven|Rettenmaier, Nils|Hennenberg, Klaus|Schuengel, Jan",bioenergy scenarios|model framework|integrated assessment|environmental impacts|land-use change,ENVIRONMENTAL MODELLING & SOFTWARE,WOS:000388779600002,The MILESTONES modeling framework: An integrated analysis of national bioenergy strategies and their global environmental impacts,2016
4,"Negm, Lamyaa M.|Youssef, Mohamed A.|Jaynes, Dan B.",controlled drainage|drainmod-dssat|integrated modeling|crop production|water quality,AGRICULTURAL WATER MANAGEMENT,WOS:000401375800006,"Evaluation of DRAINMOD-DSSAT simulated effects of controlled drainage on crop yield, water balance, and water quality for a corn-soybean cropping system in central Iowa",2017
5,"Jiang, Yefang|Nishimura, Peter|van den Heuvel, Michael R.|MacQuarrie, Kerry T. B.|Crane, Cindy S.|Xing, Zisheng|Raymond, Bruce G.|Thompson, Barry L.",eutrophication|integrated modeling|potato|gis|leachn,JOURNAL OF HYDROLOGY,WOS:000364248800017,Modeling land-based nitrogen loads from groundwater-dominated agricultural watersheds to estuaries to inform nutrient reduction planning,2015
6,"Sudusinghe, Kishan|Jiao, Yang|Ben Salem, Haifa|van der Schaar, Mihaela|Bhattacharyya, Shuvra S.|Koziel, S|Leifsson, L|Lees, M|Krzhizhanovskaya, VV|Dongarra, J|Sloot, PMA",dataflow|dddas|model-based design|stream mining|machine learning,"INTERNATIONAL CONFERENCE ON COMPUTATIONAL SCIENCE, ICCS 2015 COMPUTATIONAL SCIENCE AT THE GATES OF NATURE",WOS:000373939100262,Multiobjective Design Optimization in the Lightweight Dataflow for DDDAS Environment (LiD4E),2015
7,"Gibreel, Tarig Mohammed|Herrmann, Sylvia|Berkhoff, Karin|Nuppenau, Ernst-August|Rinn, Alexandra",land use change scenario|clue-naban land-change model|gams|vfhm model|farm type cluster analysis|rubber|planning support|bau-scenario,ECOLOGICAL INDICATORS,WOS:000329081100084,Farm types as an interface between an agroeconomical model and CLUE-Naban land change model: Application for scenario modelling,2014
8,"Shorshani, Masoud Fallah|Andre, Michel|Bonhomme, Celine|Seigneur, Christian",integrated modelling|traffic|emission|air pollution|water pollution,ENVIRONMENTAL MODELLING & SOFTWARE,WOS:000349429800010,"Modelling chain for the effect of road traffic on air and water quality: Techniques, current status and future prospects",2015
9,"Thiam, Djiby Racine|Muchapondwa, Edwin|Kirsten, Johann|Bourblanc, Magalie",water policy|south africa|olifants river basin|agriculture|water rights|integrated modeling approach,WATER RESOURCES AND ECONOMICS,WOS:000366133100005,Implications of water policy reforms for agricultural productivity in South Africa: Scenario analysis based on the Olifants river basin,2015
10,"Barthel, Roland|Banzhaf, Stefan",groundwater-surface water interaction|regional scale|catchment scale|integrated modelling|model coupling,WATER RESOURCES MANAGEMENT,WOS:000367856800001,Groundwater and Surface Water Interaction at the Regional-scale - A Review with Focus on Regional Integrated Models,2016
11,"Hughes, J. D.|Dutta, D.|Vaze, J.|Kim, S. S. H.|Podger, G.",large river basin|irrigation|unaccounted gains|unaccounted loss|loss function|calibration|routing|floodplain|irrigation,ENVIRONMENTAL MODELLING & SOFTWARE,WOS:000329561100015,An automated multi-step calibration procedure for a river system model,2014
12,"Ahmad, Zulfiqar|Ashraf, Arshad|Zaheer, Muhammad|Bashir, Humaira",hydrological modeling|deforestation|soan river|simly|khanpur watershed|land use,JOURNAL OF MOUNTAIN SCIENCE,WOS:000358671900015,Hydrological response to environment change in Himalayan watersheds: Assessment from integrated modeling approach,2015
13,"Lohpaisankrit, Worapong|Meon, Guenter|Tingsanchali, Tawatchai|Schumann, AH|Bloschl, G|Castellarin, A|Dietrich, J|Grimaldi, S|Haberlandt, U|Montanari, A|Rosbjerg, D|Viglione, A|Vorogushyn, S",,SPATIAL DIMENSIONS OF WATER MANAGEMENT - REDISTRIBUTION OF BENEFITS AND RISKS,WOS:000391006000031,A framework of integrated hydrological and hydrodynamic models using synthetic rainfall for flash flood hazard mapping of ungauged catchments in tropical zones,2016
14,"Belete, Getachew F.|Voinov, Alexey|Morales, Javier",integrated modeling|web services|wrapping|service oriented architecture|semantic mediation,ENVIRONMENTAL MODELLING & SOFTWARE,WOS:000403644700009,Designing the Distributed Model Integration Framework - DMIF,2017
15,"Gustafson, David|Gutman, Alona|Leet, Whitney|Drewnowski, Adam|Fanzo, Jessica|Ingram, John",crop modeling|open data|sustainability|resilience|waste and loss|nutrition security|food security|climate change|integrated modeling|food safety|economic modeling,SUSTAINABILITY,WOS:000373800600076,Seven Food System Metrics of Sustainable Nutrition Security,2016
16,"Digman, Christopher J.|Anderson, Nicholas|Rhodes, Gwen|Balmforth, David J.|Kenney, Stephen",floods & floodworks|risk & probability analysis|sewers & drains,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-WATER MANAGEMENT,WOS:000329344100005,Realising the benefits of integrated urban drainage models,2014
17,"Kotilainen, Aarno T.|Arppe, Laura|Dobosz, Slawomir|Jansen, Eystein|Kabel, Karoline|Karhu, Juha|Kotilainen, Mia M.|Kuijpers, Antoon|Lougheed, Bryan C.|Meier, H. E. Markus|Moros, Matthias|Neumann, Thomas|Porsche, Christian|Poulsen, Niels|Rasmussen, Peter|Ribeiro, Sofia|Risebrobakken, Bjorg|Ryabchuk, Daria|Schimanke, Semjon|Snowball, Ian|Spiridonov, Mikhail|Virtasalo, Joonas J.|Weckstrom, Kaarina|Witkowski, Andrzej|Zhamoida, Vladimir",baltic sea|climate change|holocene|inflow|multiproxy analyses|modeling,AMBIO,WOS:000329831800006,Echoes from the Past: A Healthy Baltic Sea Requires More Effort,2014
