# Data from Clarivate Analytics' Web of Science, retrieved 24 February 2018
# This file generated on 2019-02-24 17:43:18
item,id,year,title,AU,SO,DE
0,WOS:000415663200021,2017,OpenMP parallelization of a gridded SWAT (SWATG),"Zhang, Ying|Hou, Jinhang|Cao, Yongpan|Gu, Juan|Huang, Chunlin",COMPUTERS & GEOSCIENCES,grid|parallel|swat|hydrological model|openmp
1,WOS:000324148900004,2013,Modelling current and future trends in water availability for agriculture on a semi-arid and mountainous Chilean catchment,"Hublart, P.|Ruelland, D.|Dezetter, A.|Jourde, H.|Gelfan, A|Yang, D|Gusev, Y|Kunstmann, H",COLD AND MOUNTAIN REGION HYDROLOGICAL SYSTEMS UNDER CLIMATE CHANGE: TOWARDS IMPROVED PROJECTIONS,climate change impacts|hydrological modelling|snowmelt regime|agricultural water demand|water reservoir modelling|elqui river
2,WOS:000369680500002,2016,The changing climate of climate change economics,"Vale, Petterson Molina",ECOLOGICAL ECONOMICS,climate change|economics|carbon|adaptation|insurance|trade
3,WOS:000321088500005,2013,Dynamic fuzzy models in agroecosystem modeling,"Wieland, Ralf|Mirschel, Wilfried|Nendel, Claas|Specka, Xenia",ENVIRONMENTAL MODELLING & SOFTWARE,fuzzy modeling|agro-ecosystem modeling|climate change|samt
4,WOS:000376484300024,2016,Projections for headwater catchments of the Tarim River reveal glacier retreat and decreasing surface water availability but uncertainties are large,"Duethmann, Doris|Menz, Christoph|Jiang, Tong|Vorogushyn, Sergiy",ENVIRONMENTAL RESEARCH LETTERS,climate change|hydrological modelling|glacier|tien shan
5,WOS:000350284700013,2015,Dynamic Models of Fixed Capital Stocks and Their Application in Industrial Ecology,"Pauliuk, Stefan|Wood, Richard|Hertwich, Edgar G.",JOURNAL OF INDUSTRIAL ECOLOGY,consequential lca|dynamic input-output analysis|dynamic stock model|industrial metabolism|material flow analysis (mfa)|perpetual inventory method
6,WOS:000172971600118,2001,Hydrological modelling study with digital image processing of multi-sensor satellite data over a small high mountainous catchment,"Swamy, AN|Brivio, PA|Owe, M|Braubaker, K|Ritchie, J|Rango, A",REMOTE SENSING AND HYDROLOGY 2000,alps (italy)|digital elevation model|image processing|snow cover|snowmelt runoff model|supervised classification|territorial image synthesis system (tiss)|water resources management
7,WOS:000178839400198,2002,An integrated hydrology - oriented watershed assessment tool,"Aqid, N|Hasnaoui, MD|Boutat, F|Touzani, A|Ouazar, D|Hassanizadeh, SM|Schotting, RJ|Gray, WG|Pinder, GF","COMPUTATIONAL METHODS IN WATER RESOURCES, VOLS 1 AND 2, PROCEEDINGS",
8,WOS:000288943400002,2011,Multi-site stochastic modelling of daily rainfall in Uganda,"Kigobe, Max|McIntyre, Neil|Wheater, Howard|Chandler, Richard",HYDROLOGICAL SCIENCES JOURNAL-JOURNAL DES SCIENCES HYDROLOGIQUES,generalized linear models|rainfall|stochastic models|climate change|uganda|kyoga|enso
9,WOS:000313264200010,2012,System Dynamics to Sustainable Water Resources Management in the Eastern Snake Plain Aquifer Under Water Supply Uncertainty,"Ryu, Jae H.|Contor, Bryce|Johnson, Gary|Allen, Richard|Tracy, John",JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,water supply uncertainty|system dynamics|multidisciplinary research|human dimension|sustainable water resources|sustainable water resources planning|water resources planning|sustainable water management|groundwater/surface-water interaction|climate change|climate variability
10,WOS:000364605400030,2015,A systemic framework for sustainability assessment,"Sala, Serenella|Ciuffo, Biagio|Nijkamp, Peter",ECOLOGICAL ECONOMICS,sustainability science|sustainability assessment|integrated assessment|boundaries|policy support|science-policy interface|policy option assessment
11,WOS:000398871100017,2017,Evaluating the performance of remotely sensed and reanalysed precipitation data over West Africa using HBV light,"Pomeon, Thomas|Jackisch, Dominik|Diekkrueger, Bernd",JOURNAL OF HYDROLOGY,precipitation datasets|satellite precipitation estimates|hydrological evaluation|remote sensing
12,WOS:000330265900005,2014,A Framework for Developing Objective and Measurable Recovery Criteria for Threatened and Endangered Species,"Boor, Gina K. Himes",CONSERVATION BIOLOGY,endangered species act|environmental laws|environmental policy|extinction risk assessment|population modeling|population viability analysis|recovery plans|threatened species
13,WOS:A1977DS86600010,1977,ALTERNATIVE FORMALISMS FOR BIOSYSTEM AND ECOSYSTEM MODELING,"ZEIGLER, BP|BARTO, AG",SIMULATION,
14,WOS:000434092200006,2018,Host-pathogen metapopulation dynamics suggest high elevation refugia for boreal toads,"Mosher, Brittany A.|Bailey, Larissa L.|Muths, Erin|Huyvaert, Kathryn P.",ECOLOGICAL APPLICATIONS,amphibian decline|anaxyrus boreas boreas|batrachochytrium dendrobatidis|elevation|host-pathogen dynamics|multispecies occupancy
15,WOS:000342632000030,2014,Derivation of lowland riparian wetland deposit architecture using geophysical image analysis and interface detection,"Chambers, J. E.|Wilkinson, P. B.|Uhlemann, S.|Sorensen, J. P. R.|Roberts, C.|Newell, A. J.|Ward, W. O. C.|Binley, A.|Williams, P. J.|Gooddy, D. C.|Old, G.|Bai, L.",WATER RESOURCES RESEARCH,
16,WOS:000386773500025,2016,Assessing the relative importance of parameter and forcing uncertainty and their interactions in conceptual hydrological model simulations,"Mockler, E. M.|Chun, K. P.|Sapriza-Azuri, G.|Bruen, M.|Wheater, H. S.",ADVANCES IN WATER RESOURCES,uncertainty|hydrological modelling|rainfall modelling|model parameters|performance criteria
17,WOS:000178112700015,2002,"Integrated evaluation of greenhouse gas emissions (CO2, CH4, N2O) from two farming systems in southern Germany","Flessa, H|Ruser, R|Dorsch, P|Kamp, T|Jimenez, MA|Munch, JC|Beese, F",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,cattle|carbon dioxide|greenhouse gas|methane|nitrogen fertilizer|nitrous oxide|organic farming|southern germany
18,WOS:000285254000009,2010,A fuzzy-based simulation method for modelling hydrological processes under uncertainty,"Huang, Y.|Chen, X.|Li, Y. P.|Huang, G. H.|Liu, T.",HYDROLOGICAL PROCESSES,distributed hydrological model|factorial analysis|fuzzy vertex analysis|tarim river basin|uncertainty|water resources
19,WOS:000335803900014,2014,Distributional and efficiency impacts of clean and renewable energy standards for electricity,"Rausch, Sebastian|Mowers, Matthew",RESOURCE AND ENERGY ECONOMICS,climate policy|renewable energy|electricity|clean energy standards|top-down|bottom-up|general equilibrium modeling
20,WOS:000313354200012,2013,"Optimization of Well Field Operation: Case Study of Sonderso Waterworks, Denmark","Hansen, Annette K.|Madsen, Henrik|Bauer-Gottwein, Peter|Rosbjerg, Dan|Falk, Anne Katrine V.",JOURNAL OF WATER RESOURCES PLANNING AND MANAGEMENT,groundwater management|multiobjective|optimization|genetic algorithms|well fields
