# Data from Clarivate Analytics' Web of Science, retrieved 1 December 2018
# This file generated on 2018-12-01 19:35:20
item,id,year,title,AU,SO,DE
0,WOS:000390735900018,2016,Development of a coupled hydrological-geotechnical framework for rainfall-induced landslides prediction,"He, Xiaogang|Hong, Yang|Vergara, Humberto|Zhang, Ke|Kirstetter, Pierre-Emmanuel|Gourley, Jonathan J.|Zhang, Yu|Qiao, Gang|Liu, Chun",JOURNAL OF HYDROLOGY,creslide|landslide|satellite remote sensing|storm-triggered|hydrological-geotechnical
1,WOS:000290045003052,2009,Visual comparison of spatial patterns of annual suspended sediment loads estimated by two water quality modelling approaches,"Fentie, B.|Pagendam, D.|Roberts, D.|Anderssen, RS|Braddock, RD|Newham, LTH",18TH WORLD IMACS CONGRESS AND MODSIM09 INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION,burnett catchment|dry weather concentration|event mean concentration|e2|sednet|tss
2,WOS:000380490000102,2015,New business models for holistic building management,"Menzel, K.|Sirr, S.|Mahdavi, A|Martens, B|Scherer, R","EWORK AND EBUSINESS IN ARCHITECTURE, ENGINEERING AND CONSTRUCTION 2014",
3,WOS:000325219600009,2013,Response of snow processes to climate change: spatial variability in a small basin in the Spanish Pyrenees,"Lopez-Moreno, J. I.|Pomeroy, J. W.|Revuelto, J.|Vicente-Serrano, S. M.",HYDROLOGICAL PROCESSES,snow|cold regions hydrological model (crhm)|climate change|alpine|pyrenees
4,WOS:000267117100011,2009,Modeling Pareto efficient PM10 control policies in Northern Italy to reduce health effects,"Pisoni, Enrico|Volta, Marialuisa",ATMOSPHERIC ENVIRONMENT,external costs|health impacts|integrated assessment modeling|pareto efficiency|pm10 air quality policies
5,WOS:000372285600013,2016,Drought indicators-based integrated assessment of drought vulnerability: a case study of Bundelkhand droughts in central India,"Thomas, T.|Jaiswal, R. K.|Galkate, Ravi|Nayak, P. C.|Ghosh, N. C.",NATURAL HAZARDS,drought analysis|drought vulnerability|standardized precipitation index|surface water drought index|groundwater drought index
6,WOS:000312517200005,2013,An integrated model for assessment of sustainable agricultural residue removal limits for bioenergy systems,"Muth, D. J.|Bryden, K. M.",ENVIRONMENTAL MODELLING & SOFTWARE,bioenergy|agricultural residues|soil erosion|soil organic carbon|model integration
7,WOS:000305990100001,2012,A Graphical User Interface for R in a Rich Client Platform for Ecological Modeling,"Austenfeld, Marcel|Beyschlag, Wolfram",JOURNAL OF STATISTICAL SOFTWARE,rich client platform|ecological modeling|rserve|r|java
8,WOS:000318041200016,2013,Overall Environmental Modelling of Newly Designed Curtain Wall Facade Configurations,"Kim, Gon|Lim, Hong Soo|Schaefer, Laura|Kim, Jeong Tai",INDOOR AND BUILT ENVIRONMENT,double-skin|facade design|renovation|sustainable building|building energy
9,WOS:000320828200307,2013,Study on Scenario Assisted Decision Making Method for Emergent Water Pollution Accident,"Yang Dayong, |Zhou Wen, |Yang Jian, |Lin Kui, |Zhao Kunrong, |Tang, |Zhong, W|Zhuang, D|Li, C|Liu, Y","PROGRESS IN ENVIRONMENTAL PROTECTION AND PROCESSING OF RESOURCE, PTS 1-4",water pollution accident|scenario analysis|temporal gis|model integration
