DOI,title,1,2,3,4,5
10.1007/s11269-008-9352-7,From Design to Application of a Decision-support System for Integrated River-basin Management (2009),In particular attention is paid to the software engineering aspects of the design process.,From the beginning of the project onwards attention was paid to the involvement of potential end-users and key stakeholders in the design process.,"This paper identifies the possible organizational, technical, and scientific factors that may form an obstacle for the design and application of a Decision-Support System (DSS) for river-basin management by analyzing the interaction between the different participants in the Elbe DSS project.",This facilitates the design process and improves the chance of successful implementation.,"The experience of the project is that internal consistency of models and data, effective communication, and functional flexibility are essential to warrant a proper balance between scientific standards, the availability of models, and the requirements of users."
10.1007/s00267-010-9539-6,Integrating Environmental and Socio-Economic Indicators of a Linked Catchment-Coastal System Using Variable Environmental Intensity (2010),"Replacing measures of catchment performance with modelled catchment performance has usually required the dynamic linking of many models, both biophysical and socio-economic-and this requires much effort in software development.","As an alternative, we propose the use of variable environmental intensity (defined as the ratio of environmental impact over economic output) in a loose coupling of models to provide a sufficient level of integration while avoiding significant effort required for software development.",We are currently investigating the use of the model in this type of application.,"While this has largely been a desktop exercise, it would also be possible to use this framework to model and explore the biophysical and economic impacts of individual or collective catchment visions.","To date, this model evaluation is based on a theoretical test that explores the logical implications of intensification at an unlikely extreme in order to assess the implications of likely growth trajectories from present use."
10.1016/S1474-7065(03)00104-9,"Decision support system for desertification mitigation in the Agri basin, southern Italy (2003)","; and, given a climate scenario, is a specified land use or agricultural policy sustainable?","As a contribution to understanding the interaction between the factors which influence desertification, a decision support system.","Typical issues which the DSS can address include: what are the desertification consequences of specified climate scenarios, within a context of fixed agricultural policy?","It provides a means of examining the effect of climate change and land management on desertification, allowing for feedback between the physical conditions and land use as determined by farmer decisions and government or EU agricultural policy (especially crop subsidies).",
10.1016/j.jhydrol.2017.07.002,"Design and experimentation of an empirical multistructure framework for accurate, sharp and reliable hydrological ensembles (2017)",This paper outlines the design and experimentation of an Empirical Multistructure Framework (EMF) for lumped conceptual hydrological modeling.,"Optimisation resorts to ensemble calibration, ranking and selection of individual child time series based on optimal bias and reliability trade-offs, as well as accuracy and sharpness improvement of the ensemble.",An analysis of the preferred functional components reveals the importance of the production and total flow elements.,"The EMF concept aims to reduce subjectivity in conceptual hydrological modeling practice and includes model selection in the optimisation steps, reducing initial assumptions on the prior perception of the dominant rainfall-runoff transformation processes.","Results on 37 snow-dominated Canadian catchments and 20 climatically-diversified American catchments reveal the excellent potential of the EMF in generating new individual model alternatives, with high respective performance values, that may be pooled efficiently into ensembles of seven to sixty constitutive members, with low bias and high accuracy, sharpness, and reliability."
10.1007/s11269-006-9057-8,Integrated assessment of water resources: Australian experiences (2007),Specific software platforms are not considered but the lessons from software development and implementation are clearly spelt out.,"The paper illustrates the value, problems and lessons of integrated assessment and modelling.","It is widely accepted that water resource management demands an integrated assessment of resource use options, including local and regional impacts on the environment and stakeholders.","This paper discusses the various frameworks and methods being used for integrated modelling, and their suitability and unfulfilled potential for these purposes.",It also acts as a vehicle for social learning among various interest groups.
10.1002/wrcr.20393,A guide to good practice in modeling semantics for authors and referees (2013),"Key Points <list list-type=""bulleted""> Semantics of hydrological modelling lack clarity Clarifications for simulation and forecasting and treatment of uncertainty Clarifications for model evaluation and falsification","While not expecting universal agreement on these suggestions, given the loose usage of words in the literature, we hope that the discussion of the issues involved will at least give pause for thought and encourage good practice in model development and applications.",This opinion piece makes some suggestions about guidelines for modeling semantics that can be referred to by authors and referees.,,
10.1080/13873954.2010.506745,Knowledge-based simulation model generation for control law design applied to a quadrotor UAV (2010),"Like for all mechatronic systems, the role of control software in unmanned aerial vehicle (UAV) design is becoming more important.","As part of an automated control software development framework, this article discusses the development of a simulation model generation method.","As a basis, the application of knowledge-based engineering (KBE) is suggested, requiring the definition of an ontology to capture the various domain concepts and relationships.",The results show that the obtained model can form the basis for control design and that the approach provides means to integrate the dynamics analysis and control design into a modelling framework using a combination of object-oriented component modelling and KBE principles.,"The need for physics-based, high-fidelity simulation models using the latest design parameters is illustrated by investigating the model of a quadrotor UAV."
10.1109/TSMCC.2011.2135850,Collaborative Modeling Process for Development of Domain-Specific Discrete Event Simulation Systems (2012),"If a system that is to be modeled is domain-specific, the development of models with the use of the DEVS formalism would require domain knowledge about the system as well as to understand DEVS semantics.","The system requirements are used to specify domain models in the conceptual modeling step, and the models are partitioned into two types: discrete event-level model (DEM) and behavioral-level model (BM).","The DEM is specified as the DEVS formalism, and the BM is defined as algorithms and equations.",This paper proposes a collaborative modeling process to compensate for the lack of professional engineers.,The advantage of this modeling process is that the collaborative work is related to the whole series of steps.
10.1016/j.ocecoaman.2010.10.018,Practitioner training for building capacity in ICZM (2010),"Although the concept of capacity building includes human resource development, organizational development and institutional and legal framework development, in practice it has often become focussed on the transfer of technical knowledge and procedures to managers and decision makers.","This paper reviews methods for practitioner-oriented capacity building, and details the evolution of a training course to sensitise and familiarise coastal practitioners with the principles and practices of ICZM, working from local to national to trans-national scales.",The lessons learnt from the ICZM capacity development in COREPOINT are identified and it is suggested that these are relevant and applicable to many other ICZM initiatives.,"It also produced a more uniform and systematic style and structure to presentations, in particular the case studies illustrating the eight EU ICZM principles of best practice, and embedded the ICZM principles and European perspectives of coastal management within the context of the work environment.",Experiences gained during the EU Intereg IIIB COREPOINT project led to the development of a training programme that progressively reduced its formal lecture-style content and increased opportunity for discussion and delegate participation.
10.5194/hess-19-4559-2015,Large-scale hydrological modelling by using modified PUB recommendations: the India-HYPE case (2015),"We finally demonstrate the potential of multi-basin modelling for comparative hydrology using PUB, by grouping the 6000 subbasins based on similarities in flow signatures to gain insights into the spatial patterns of flow generating processes at the large scale.","In addition, spatial model deficiencies are used to identify potential improvements of the model concept.",This may lead to inaccurate model parameterisation and erroneous process understanding.,"By using examples from a recent HYPE (Hydrological Predictions for the Environment) hydrological model set-up across 6000 subbasins for the Indian subcontinent, named India-HYPE v1.0, we explore the PUB recommendations, identify challenges and recommend ways to overcome them.",particularly regional and global databases.
