DOI,title,1,2,3,4,5
10.2166/hydro.2016.086,Optimal groundwater management using state-space surrogate models: a case study for an arid coastal region (2016),A surrogate modeling framework is developed in this study to circumvent the computational burden of high-fidelity numerical groundwater models for arid coastal aquifers.,"A novel time-dependent training scheme is introduced which helps the surrogates in tracking the discrete-time state-space trajectories of the high-fidelity model, thereby making them suitable for variable-time simulations.","Both the surrogates show comparable accuracy in efficiently approximating the numerical model response; however, ANN is found to be much faster than GPM for the size of the data used.",,
10.1002/fld.1663,A new computational framework for multi-scale ocean modelling based on adapting unstructured meshes (2008),Throughout a simulation the mesh is dynamically adapted in 3D to optimize the representation of evolving solution structures.,The approach is based upon a finite element discretization on an unstructured tetrahedral mesh which is optimized to represent highly complex geometries.,A new modelling framework is presented for application to a range of three-dimensional (3D) multi-scale oceanographic problems.,"The modelling framework presented is quite different from the majority of ocean models in use today, which are typically based on static-structured grids.","Finite element (and volume) methods on unstructured meshes are, however, gaining popularity in the oceanographic community."
10.1016/j.chemolab.2016.08.014,Probabilistic learning of partial least squares regression model: Theory and industrial applications (2016),"Furthermore, in order to describe more complicated processes, the single probabilistic PLS model is extended to the mixture form under a similar probabilistic modeling framework.","For training and parameter learning of the probabilistic PLS model, the Bayes rule is applied and an efficient Expectation-Maximization algorithm is designed.",Two industrial case studies are provided as examples of the application of soft sensors constructed based on the new developed models.,,
10.5194/hess-22-2987-2018,"Framework for developing hybrid process-driven, artificial neural network and regression models for salinity prediction in river systems (2018)","Based on trade-offs between the degree of process understanding and data availability, a process-driven model is developed for in-stream salt transport, an ANN model is used to model saline groundwater accession and three linear regression models are used to account for the flushing of the different floodplain storages.","Apart from improved predictive performance, the hybrid model also has advantages over the ANN benchmark model in terms of increased capacity for improving system understanding and greater ability to support management decisions.",Each component of the hybrid model results in noticeable improvements in model performance corresponding to the range of flows for which they are developed.,"In order to overcome these limitations, a generic framework for developing hybrid process and data-driven models of salinity in river systems is introduced and applied in this paper.","The major limitation of data-driven models, such as artificial neural networks (ANNs) in comparison, is that they provide limited system understanding and are generally not able to be used to inform management decisions targeting specific processes, as different processes are generally modelled implicitly."
10.1088/1742-6596/180/1/012002,"Advanced computations of multi-physics, multi-scale effects in beam dynamics (2009)","We present recent developments in Synergia2, an accelerator modeling framework designed for multi-physics, multi-scale simulations.","We summarize recent several recent results in multi-physics beam dynamics, including simulations of three Fermi lab accelerators: the Tevatron, the Main Injector and the Debuncher.",,,
10.1016/j.cpc.2005.12.017,"Flexible, efficient and robust algorithm for parallel execution and coupling of components in a framework (2006)",The flexibility and efficiency of the algorithm is demonstrated with several examples.,"In short, the requirements are the following: (i) the algorithm should allow arbitrary distribution of processors among the components, (ii) it should allow arbitrary coupling schedule between the components, (iii) it should not use any inter-processor communication other than already required by the components and their couplings, and (iv) it should never get into a dead-lock.",We describe a general algorithm suitable for executing and coupling components of a software framework on a parallel computer.,,
10.1007/s10666-015-9454-6,Convexity Analysis of the Dynamic Integrated Model of Climate and the Economy (DICE) (2015),We also provide sufficient conditions on the parameter space that assure this property.,"Through some optima-preserving transformations and convex function analysis, we conclude that the DICE model is a hidden convex optimization problem when using the standard parameter values.",,,
10.1016/j.envsoft.2010.08.006,"Integration of numerical modeling and Bayesian analysis for setting water quality criteria in Hamilton Harbour, Ontario, Canada (2011)",We also provide evidence that the anticipated structural shifts of the zooplankton community will determine the restoration rate of the Harbour.,"In this regard, the present modeling study undertakes an estimation of the critical nutrient loads in the Harbour based on acceptable exceedance frequencies and confidence of compliance levels with different water quality criteria, e.g., chlorophyll a, total phosphorus (TP).","Our analysis suggests that the water quality goals for TP (17 mu g L-1) and chlorophyll a concentrations (5-10 mu g L-1) will likely be met, if the recommendation for phosphorus loading at the level of 142 kg day(-1) is achieved.","First, we present the results of the Bayesian calibration exercise and examine the ability of the model to adequately reproduce the average observed patterns along with the major cause-effect relationships underlying the Harbour water quality conditions.","Other advantages of the Bayesian approach are the ability to sequentially update ""beliefs"" as new knowledge is available, the consistency with the scientific process of progressive learning and the policy practice of adaptive management."
10.1007/s00477-005-0016-3,A stochastic model of surface contaminant releases to support assessment of site contamination at a former industrial site (2006),The release model has been developed as part of a suite of stochastic models for site ground contamination analysis.,An industrial site is usually contaminated by accidental (and occasionally intentional) releases of pollutants to the environment from various operations carried out on that site.,The stochastic soil and transport models and the application of the integrated modelling system are described in separate papers.,"Consequently, the pattern of contamination created during the life of the site depends in part, at least, on the pattern of operations.",The model employs release zones associated with particular activities or groups of activities on the site and the areas of each of the zones may be independent or overlapping.
10.1016/j.jenvrad.2004.07.009,The EXPURT model for calculating external gamma doses from deposited material in inhabited areas (2006),"EXPURT, NRPB's model for calculating external gamma doses in inhabited areas, was originally developed in the mid-1980s.","It enables the impact of the decontamination of surfaces on doses and dose rates to be explored, The paper describes the EXPURT model and presents some preliminary results obtained using it.",The model has been updated to take account of more recent experimental data on the transfer rates between surfaces and to make it more flexible for use in assessing dose rates following an accidental release.,EXPURT is a compartmental model and models the transfer of material between the surfaces using a set of first order differential equations.,
10.2166/wst.2006.029,A standard interface between simulation programs and systems analysis software (2006),This interface is designed to facilitate linkage of environmental simulation programs with systems analytical software and thus can contribute to remedying the deficiency in applying systems analytical techniques to environmental modelling studies.,It is open for implementation by academic and commercial simulation and systems analytical software developers and is very simple to implement.,"Furthermore, such a development could stimulate the transfer of systems analytical techniques between different fields of application.",A simple interface between simulation programs and systems analytical software is proposed.,"The proposed concept, consisting of a text file interface combined with a batch mode simulation program call, is independent of model structure, operating system and programming language."
