# Data from Clarivate Analytics' Web of Science, retrieved 29 October 2018
# This file generated on 2018-11-23 17:10:07
item,AU,DE,DOI,SO,id,title,year,DOI link
0,"Dao Nguyen Khoi, |Vu Thi Thom, |Chau Nguyen Xuan Quang, |Ho Long Phi, ",dong nai river basin|glue|parasol|pso|sufi-2|swat model|uncertainty analysis,10.1051/lhb/2017003,HOUILLE BLANCHE-REVUE INTERNATIONALE DE L EAU,WOS:000396894600003,Parameter uncertainty analysis for simulating streamflow in the upper Dong Nai river basin,2017,https://dx.doi.org/10.1051/lhb/2017003
808,"Rospriandana, Naufal|Fujii, Masahiko",renewable energy|small hydropower|swat|hydrological modeling|gis|indonesia,10.3178/hrl.11.6,HYDROLOGICAL RESEARCH LETTERS,WOS:000416311100002,"Assessment of small hydropower potential in the Ciwidey subwatershed, Indonesia: a GIS and hydrological modeling approach",2017,https://dx.doi.org/10.3178/hrl.11.6
810,"Dugan, Alexa J.|Birdsey, Richard|Healey, Sean P.|Pan, Yude|Zhang, Fangmin|Mo, Gang|Chen, Jing|Woodall, Christopher W.|Hernandez, Alexander J.|McCullough, Kevin|McCarter, James B.|Raymond, Crystal L.|Dante-Wood, Karen",forest carbon|forest inventory|ecosystem model|climate change|national forests,10.1007/s10584-017-2038-5,CLIMATIC CHANGE,WOS:000409001300010,Forest sector carbon analyses support land management planning and projects: assessing the influence of anthropogenic and natural factors,2017,https://dx.doi.org/10.1007/s10584-017-2038-5
814,"Rosemary, F.|Vitharana, U. W. A.|Indraratne, S. P.|Weerasooriya, R.|Mishra, U.",spatial heterogeneity|geo-statistical analysis|land uses|soil catena,10.1016/j.catena.2016.10.017,CATENA,WOS:000392686000007,Exploring the spatial variability of soil properties in an Alfisol soil catena,2017,https://dx.doi.org/10.1016/j.catena.2016.10.017
818,"Meaurio, Maite|Zabaleta, Ane|Boithias, Laurie|Miren Epelde, Ane|Sauvage, Sabine|Sanchez-Perez, Jose-Miguel|Srinivasan, Raghavan|Antiguedad, Inaki",cmip5|hydrological trend|high flow and low flow|swat model|atlantic region|transition zone,10.1016/j.jhydrol.2017.02.029,JOURNAL OF HYDROLOGY,WOS:000403739000005,Assessing the hydrological response from an ensemble of CMIP5 climate projections in the transition zone of the Atlantic region (Bay of Biscay),2017,https://dx.doi.org/10.1016/j.jhydrol.2017.02.029
819,"Ren, Yufeng|Cai, Shixiang|Liu, Xing|Ao, Tianqi",precipitation|trmm|3b42v7|btopmc|data-sparse basins|hydrological modelling,,JOURNAL OF ENVIRONMENTAL PROTECTION AND ECOLOGY,WOS:000407305300005,DAILY STREAMFLOW PROCESS SIMULATION IN THE DATA-SPARSE BASINS,2017,https://dx.doi.org/
823,"van Lier, Quirijn de Jong",crop water availability|drainage|hydrological modeling|bucket model,10.1016/j.agwat.2017.08.017,AGRICULTURAL WATER MANAGEMENT,WOS:000412255400018,"Field capacity, a valid upper limit of crop available water?",2017,https://dx.doi.org/10.1016/j.agwat.2017.08.017
825,"Mahowald, Natalie M.|Ward, Daniel S.|Doney, Scott C.|Hess, Peter G.|Randerson, James T.",land use|climate change|agriculture|deforestation,10.1088/1748-9326/aa836d,ENVIRONMENTAL RESEARCH LETTERS,WOS:000411254800001,Are the impacts of land use on warming underestimated in climate policy?,2017,https://dx.doi.org/10.1088/1748-9326/aa836d
829,"Wei, Yaping|Fan, Jinglong|Xu, Xinwen|Lei, Jiaqiang",pumping test|aquifer test|pressure correction|hydrogeological parameters,10.24850/j-tyca-2017-02-14,TECNOLOGIA Y CIENCIAS DEL AGUA,WOS:000403101600014,"Water table response to a pumping test in the hinterland core area of the Taklimakan Desert, China",2017,https://dx.doi.org/10.24850/j-tyca-2017-02-14
830,"Zhang, Xiaodong|Vesselinov, Velimir V.",water-energy-food nexus|socioeconomic demands|environmental impacts|modeling|optimal management|ghg emission control,10.1016/j.advwatres.2016.12.017,ADVANCES IN WATER RESOURCES,WOS:000395853600001,"Integrated modeling approach for optimal management of water, energy and food security nexus",2017,https://dx.doi.org/10.1016/j.advwatres.2016.12.017
833,"Kato, Etsushi|Moriyama, Ryo|Kurosawa, Atsushi|Dixon, T|Laloui, L|Twinning, S",beccs|energy crops|integrated assessment model,10.1016/j.egypro.2017.03.1748,"13TH INTERNATIONAL CONFERENCE ON GREENHOUSE GAS CONTROL TECHNOLOGIES, GHGT-13",WOS:000419147306036,A sustainable pathway of bioenergy with carbon capture and storage deployment,2017,https://dx.doi.org/10.1016/j.egypro.2017.03.1748
837,"Estrada, Leonel Lara|Rasche, Livia|Schneider, Uwe A.",land evaluation|ecological modeling|suitability functions|bayesian networks|integrated modeling framework,10.1016/j.envsoft.2017.06.028,ENVIRONMENTAL MODELLING & SOFTWARE,WOS:000406177500016,Modeling land suitability for Coffea arabica L. in Central America,2017,https://dx.doi.org/10.1016/j.envsoft.2017.06.028
840,"Theodoridou, I.|Karteris, M.|Mallinis, G.|Tsiros, E.|Karteris, A.|Bikas, D|Theodosiou, T|Katerina, T",green roofs|urban environment|remote sensing|large-scale energy consumption|carbon sequestration,10.1016/j.proenv.2017.03.117,SUSTAINABLE SYNERGIES FROM BUILDINGS TO THE URBAN SCALE,WOS:000410925400068,"Assessing the Benefits from Retrofitting Green Roofs in Mediterranean, using Environmental Modelling, GIS and very high Spatial Resolution Remote Sensing Data: The example of Thessaloniki, Greece",2017,https://dx.doi.org/10.1016/j.proenv.2017.03.117
841,"Delavau, Carly J.|Stadnyk, Tricia|Holmes, Tegan",,10.5194/hess-21-2595-2017,HYDROLOGY AND EARTH SYSTEM SCIENCES,WOS:000402326300001,"Examining the impacts of precipitation isotope input (delta O-18(ppt)) on distributed, tracer-aided hydrological modelling",2017,https://dx.doi.org/10.5194/hess-21-2595-2017
844,"Rahman, Kazi|Ray, Nicolas|Giuliani, Gregory|Maringanti, Chetan|George, Chris|Lehmann, Anthony",swat model|open source software|free data|hydrology,10.1134/S0097807817010067,WATER RESOURCES,WOS:000396417800004,Breaking Walls Towards Fully Open Source Hydrological Modeling,2017,https://dx.doi.org/10.1134/S0097807817010067
848,"Arciniega-Esparza, Saul|Agustin Brena-Naranjo, Jose|Pedrozo-Acuna, Adrian|Mario Appendini, Christian",streamflow|recession|storage-discharge relationships|baseflow|toolbox,10.1016/j.cageo.2016.10.005,COMPUTERS & GEOSCIENCES,WOS:000389294300010,HYDRORECESSION: A Matlab toolbox for streamflow recession analysis,2017,https://dx.doi.org/10.1016/j.cageo.2016.10.005
856,"Saranjampour, Parichehr|Armbrust, Kevin L.|Marx, Brian D.",dibenzothiophenes|environmental modeling|fate and transport|hydroxyl radical|volatilization|polycyclic aromatic hydrocarbons,10.1002/etc.3745,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,WOS:000406398400007,ASSESSING THE HYDROXYL RADICAL AND VOLATILIZATION ROLES IN AQUATIC FATE ESTIMATIONS OF SULFUR HETEROCYCLES: DIBENZOTHIOPHENE DERIVATIVES,2017,https://dx.doi.org/10.1002/etc.3745
857,"Khan, Hassaan Furqan|Yang, Y. C. Ethan|Xie, Hua|Ringler, Claudia",,10.5194/hess-21-6275-2017,HYDROLOGY AND EARTH SYSTEM SCIENCES,WOS:000417851600001,A coupled modeling framework for sustainable watershed management in transboundary river basins,2017,https://dx.doi.org/10.5194/hess-21-6275-2017
858,"Cordioli, M.|Pironi, C.|De Munari, E.|Marmiroli, N.|Lauriola, P.|Ranzi, A.",land use regression model|exposure assessment|spatiotemporal model|gis|air pollution,10.1016/j.scitotenv.2016.09.089,SCIENCE OF THE TOTAL ENVIRONMENT,WOS:000389090100100,Combining land use regression models and fixed site monitoring to reconstruct spatiotemporal variability of NO2 concentrations over a wide geographical area,2017,https://dx.doi.org/10.1016/j.scitotenv.2016.09.089
860,"Zhao, Xiaomin|Lung, Wu-Seng",hormones|17 beta-estradiol|fate and transport|hspf modeling|basins,10.1016/j.chemosphere.2017.08.058,CHEMOSPHERE,WOS:000411846900092,Modeling the fate and transport of 17 beta-estradiol in the South River watershed in Virginia,2017,https://dx.doi.org/10.1016/j.chemosphere.2017.08.058
